concept,method,display_name,alpha_percent,score_aggregation,tau,calibration_control_reject_rate,realized_control_reject_rate,target_reject_rate,auc_roc,n_control_calibration,n_control_evaluation,n_target_evaluation,feature_dir,split_seed
female_subjects,denserepreg,PLRDC + RepReg,20,max,1.0282902717590332,0.19,0.18,0.99,0.971125,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denserepreg-l22-f1189,42
female_subjects,imq,IMQ SAE,1,max,34.41654300689697,0.01,0.07,0.78,0.9616,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/imq-l22-f3237,42
female_subjects,imq,IMQ SAE,2,max,26.449307441711426,0.02,0.07,0.87,0.9616,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/imq-l22-f3237,42
female_subjects,imq,IMQ SAE,5,max,19.105968475341797,0.05,0.09,0.93,0.9616,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/imq-l22-f3237,42
female_subjects,imq,IMQ SAE,10,max,11.401144027709961,0.1,0.13,0.97,0.9616,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/imq-l22-f3237,42
female_subjects,imq,IMQ SAE,20,max,4.683244228363037,0.15,0.15,0.97,0.9616,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/imq-l22-f3237,42
female_subjects,repreg,RepReg SAE,1,max,23.014827728271484,0.01,0.05,0.88,0.9755,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/repreg-l22-f12116,42
female_subjects,repreg,RepReg SAE,2,max,19.56153678894043,0.02,0.07,0.9,0.9755,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/repreg-l22-f12116,42
female_subjects,repreg,RepReg SAE,5,max,13.721270561218262,0.05,0.08,0.94,0.9755,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/repreg-l22-f12116,42
female_subjects,repreg,RepReg SAE,10,max,4.560556888580322,0.08,0.1,0.97,0.9755,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/repreg-l22-f12116,42
female_subjects,repreg,RepReg SAE,20,max,4.560556888580322,0.08,0.1,0.97,0.9755,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/repreg-l22-f12116,42
female_subjects,sigreg,SigReg SAE,1,max,22.80188751220703,0.01,0.05,0.91,0.9749,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigreg-l22-f12116,42
female_subjects,sigreg,SigReg SAE,2,max,19.402487754821777,0.02,0.06,0.94,0.9749,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigreg-l22-f12116,42
female_subjects,sigreg,SigReg SAE,5,max,12.761942386627197,0.05,0.08,0.95,0.9749,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigreg-l22-f12116,42
female_subjects,sigreg,SigReg SAE,10,max,4.787838459014892,0.09,0.12,0.97,0.9749,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigreg-l22-f12116,42
female_subjects,sigreg,SigReg SAE,20,max,4.787838459014892,0.09,0.12,0.97,0.9749,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigreg-l22-f12116,42
female_subjects,sigregrepreg,SigReg + RepReg,1,max,30.61540412902832,0.01,0.07,0.88,0.9695,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigregrepreg-l22-f3237,42
female_subjects,sigregrepreg,SigReg + RepReg,2,max,26.81141471862793,0.02,0.08,0.9,0.9695,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigregrepreg-l22-f3237,42
female_subjects,sigregrepreg,SigReg + RepReg,5,max,19.073241233825684,0.05,0.1,0.94,0.9695,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigregrepreg-l22-f3237,42
female_subjects,sigregrepreg,SigReg + RepReg,10,max,12.963469505310059,0.1,0.11,0.97,0.9695,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigregrepreg-l22-f3237,42
female_subjects,sigregrepreg,SigReg + RepReg,20,max,3.7844228744506836,0.13,0.14,0.98,0.9695,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/sigregrepreg-l22-f3237,42
football,batchtopk,BatchTopK SAE,1,max,18.839240074157715,0.01,0.01,0.99,0.9998,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/batchtopk-l11-f57610,42
football,batchtopk,BatchTopK SAE,2,max,16.31368923187256,0.02,0.01,1.0,0.9998,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/batchtopk-l11-f57610,42
football,batchtopk,BatchTopK SAE,5,max,6.953437805175781,0.03,0.03,1.0,0.9998,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/batchtopk-l11-f57610,42
football,batchtopk,BatchTopK SAE,10,max,6.953437805175781,0.03,0.03,1.0,0.9998,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/batchtopk-l11-f57610,42
football,batchtopk,BatchTopK SAE,20,max,6.953437805175781,0.03,0.03,1.0,0.9998,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/batchtopk-l11-f57610,42
football,dense,PLRDC SAE,1,max,8.648682594299316,0.01,0.01,1.0,1.0,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/dense-l11-f52149,42
football,dense,PLRDC SAE,2,max,4.1680145263671875,0.02,0.02,1.0,1.0,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/dense-l11-f52149,42
football,dense,PLRDC SAE,5,max,4.1680145263671875,0.02,0.02,1.0,1.0,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/dense-l11-f52149,42
football,dense,PLRDC SAE,10,max,4.1680145263671875,0.02,0.02,1.0,1.0,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/dense-l11-f52149,42
football,dense,PLRDC SAE,20,max,4.1680145263671875,0.02,0.02,1.0,1.0,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/dense-l11-f52149,42
football,denseimq,PLRDC + IMQ,1,max,26.19930934906006,0.01,0.01,0.96,0.9969,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denseimq-l22-f27807,42
football,denseimq,PLRDC + IMQ,2,max,19.530370712280273,0.02,0.01,0.99,0.9969,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denseimq-l22-f27807,42
football,denseimq,PLRDC + IMQ,5,max,11.579787254333496,0.05,0.04,1.0,0.9969,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denseimq-l22-f27807,42
football,denseimq,PLRDC + IMQ,10,max,4.174266934394836,0.1,0.08,1.0,0.9969,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denseimq-l22-f27807,42
football,denseimq,PLRDC + IMQ,20,max,1.9293993711471555,0.11,0.11,1.0,0.9969,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denseimq-l22-f27807,42
football,denserepreg,PLRDC + RepReg,1,max,23.73892879486084,0.01,0.01,0.97,0.996,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denserepreg-l22-f27807,42
football,denserepreg,PLRDC + RepReg,2,max,18.449536323547363,0.02,0.02,0.99,0.996,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denserepreg-l22-f27807,42
football,denserepreg,PLRDC + RepReg,5,max,11.338396549224854,0.05,0.04,1.0,0.996,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denserepreg-l22-f27807,42
football,denserepreg,PLRDC + RepReg,10,max,2.0453569889068604,0.1,0.1,1.0,0.996,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denserepreg-l22-f27807,42
football,denserepreg,PLRDC + RepReg,20,max,2.0453569889068604,0.1,0.1,1.0,0.996,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/denserepreg-l22-f27807,42
football,gatedsae,Gated SAE,1,max,6.5345048904418945,0.01,0.0,0.3,0.8779,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/gatedsae-l11-f16570,42
football,gatedsae,Gated SAE,2,max,4.671320915222168,0.02,0.01,0.35,0.8779,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/gatedsae-l11-f16570,42
football,gatedsae,Gated SAE,5,max,2.1158963441848755,0.05,0.06,0.6,0.8779,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/gatedsae-l11-f16570,42
football,gatedsae,Gated SAE,10,max,1.8213936686515808,0.1,0.08,0.68,0.8779,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/gatedsae-l11-f16570,42
football,gatedsae,Gated SAE,20,max,1.4431982040405273,0.2,0.13,0.8,0.8779,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/gatedsae-l11-f16570,42
football,kernel,SUR SAE,1,max,28.25798797607422,0.01,0.01,0.97,0.9989,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/football/kernel-l22-f40102,42
