group,group_title,group_subtitle,concepts,method,display_name,alpha_percent,avg_auc_roc,avg_auc_roc_ci_low,avg_auc_roc_ci_high,mean_target_reject_rate,target_reject_ci_low,target_reject_ci_high,mean_realized_control_reject_rate,realized_control_ci_low,realized_control_ci_high,mean_tau,n_concepts
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",kernel,SUR SAE,1,0.99945,0.9989,1.0,0.985,0.97,1.0,0.01,0.01,0.01,24.880796432495117,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",kernel,SUR SAE,2,0.99945,0.9989,1.0,1.0,1.0,1.0,0.015,0.01,0.02,21.026190757751465,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",kernel,SUR SAE,5,0.99945,0.9989,1.0,1.0,1.0,1.0,0.03,0.02,0.04,12.219750165939331,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",kernel,SUR SAE,10,0.99945,0.9989,1.0,1.0,1.0,1.0,0.08,0.05,0.11,6.0407304763793945,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",kernel,SUR SAE,20,0.99945,0.9989,1.0,1.0,1.0,1.0,0.08499999999999999,0.05,0.12,3.4437332153320312,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",relu,ReLU SAE,1,0.960075,0.92085,0.9993,0.54,0.08,1.0,0.02,0.01,0.03,8.179584383964539,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",relu,ReLU SAE,2,0.960075,0.92085,0.9993,0.685,0.37,1.0,0.02,0.01,0.03,5.496295928955078,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",relu,ReLU SAE,5,0.960075,0.92085,0.9993,0.8049999999999999,0.61,1.0,0.035,0.03,0.04,3.499964654445648,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",relu,ReLU SAE,10,0.960075,0.92085,0.9993,0.9,0.8,1.0,0.08,0.05,0.11,2.5413054525852203,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",relu,ReLU SAE,20,0.960075,0.92085,0.9993,0.9450000000000001,0.89,1.0,0.21999999999999997,0.15,0.29,1.7923289835453033,2
